23.30,8.00,25.30
23.40,8.00,21.70
23.50,8.00,18.20
23.60,8.00,14.60
23.70,8.00,11.40
23.80,8.00,7.90
23.90,8.00,6.60
24.00,8.00,8.70
24.10,8.00,7.90
24.20,8.00,7.20
24.30,8.00,9.50
24.40,8.00,8.70
24.50,8.00,6.00
24.60,8.00,7.00
24.70,8.00,9.60
24.80,8.00,9.00
24.90,8.00,6.90
25.00,8.00,8.80
25.10,8.00,9.50
25.20,8.00,7.50
25.30,8.00,6.20
25.40,8.00,8.70
25.50,8.00,9.70
25.60,8.00,7.60
25.70,8.00,6.50
25.80,8.00,9.00
25.90,8.00,9.90
26.00,8.00,7.70
26.10,8.00,6.70
26.20,8.00,8.90
26.30,8.00,8.40
26.40,30.00,6.40
26.50,30.00,8.40
26.60,30.00,11.20
26.70,30.00,14.90
26.80,30.00,18.60
26.90,30.00,21.70
27.00,30.00,25.50
27.10,30.00,28.90
27.20,30.00,32.00
27.30,30.00,30.70
27.40,30.00,27.70
27.50,30.00,30.10
27.60,30.00,31.00
27.70,30.00,28.40
27.80,30.00,29.30
27.90,30.00,31.70
28.00,30.00,30.00
28.10,30.00,27.20
28.20,30.00,29.40
28.30,30.00,31.70
28.40,30.00,30.00
28.50,30.00,27.40
28.60,30.00,29.50
28.70,30.00,31.50
28.80,30.00,29.70
28.90,30.00,29.30
29.00,30.00,30.60
29.10,30.00,28.70
29.20,30.00,29.70
29.30,30.00,32.00
29.40,30.00,30.60
29.50,30.00,28.20
29.60,30.00,30.10
29.70,8.00,32.30
29.80,8.00,30.50
29.90,8.00,27.30
30.00,8.00,23.60
30.10,8.00,20.30
30.20,8.00,16.50
30.30,8.00,13.40
30.40,8.00,9.70
30.50,8.00,6.40
30.60,8.00,6.40
30.70,8.00,8.80
30.80,8.00,8.30
30.90,8.00,5.60
31.00,8.00,6.70
31.10,8.00,9.20
31.20,8.00,8.60
31.30,8.00,6.60
31.40,8.00,8.10
31.50,8.00,9.10
31.60,8.00,6.90
31.70,8.00,6.30
31.80,8.00,8.60
31.90,8.00,9.40
32.00,8.00,7.20
32.10,8.00,6.30
32.20,8.00,8.60
32.30,8.00,8.20
32.40,8.00,6.40
32.50,8.00,7.60
32.60,8.00,10.20
32.70,8.00,8.70
